ALLSKY_KT,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2M,RH2M,PS
0.27,2.02,5.31,6.29,14.06,68.06,100.15
0.55,4.16,4.3,5.85,15.03,73.88,101.42
0.61,4.66,4.72,2.26,14.15,78.94,102.09
0.54,4.15,5.35,3.03,14.52,72.06,101.6
0.62,4.82,4.85,3.24,15.9,56.56,100.59
0.47,3.68,5.4,4.56,18.44,43.19,99.86
0.38,2.94,5.56,6.27,19.09,39.56,99.63
0.59,4.65,4.85,4.98,14.89,59.31,100.57
0.44,3.5,4.47,1.55,15.76,58.38,100.94
0.59,4.69,4.98,1.45,16.9,61.94,101.03
0.61,4.95,4.96,2.04,17.09,61.25,100.72
0.51,4.16,5.73,4.27,15.74,71.75,100.07
0.13,1.09,5.8,7.52,15.12,88,99.69
0.12,1.07,5.84,3.86,15.56,83.75,99.47
0.39,3.28,5.93,4.81,15.36,64.94,100.31
0.68,5.72,5.78,3.26,15.94,60.56,100.74
0.34,2.94,5.95,2.55,13.76,75.5,100.91
0.4,3.38,6.04,3.45,13.94,70.44,101.32
0.48,4.2,6,4.45,14.65,72.88,101.51
0.6,5.23,5.76,1.58,15.92,68.88,101.42
0.63,5.49,5.47,3.8,16.52,57.19,100.76
0.66,5.82,5.82,3.43,18.69,45,99.77
0.41,3.56,6.31,5.95,17.15,43.25,99.39
0.63,5.61,5.69,3.29,15.43,49.62,100.25
0.62,5.6,5.91,2.05,16.97,60.88,100.34
0.62,5.54,6.04,3.08,16.39,68.12,100.37
0.66,5.99,5.99,1.9,16.56,70.94,100.8
0.69,6.28,6.28,3.62,16.55,75.06,100.94
0.44,3.98,6.57,3.14,16.83,79.56,100.26
0.5,4.62,6.09,3.57,17.13,74.38,99.8
0.6,5.57,5.82,5.16,15.05,65.69,100.46
0.59,5.51,5.85,2.08,14.55,58.62,100.71
0.51,4.77,5.94,1.71,15.59,61.38,100.67
0.48,4.58,6.87,2.58,16.48,50.81,100.78
0.52,4.87,6.14,5.16,15.52,55.06,100.33
0.51,4.82,6.95,6.12,13.43,53.12,100.61
0.59,5.72,6.39,4.36,16.31,59.38,101.35
0.62,6.01,5.97,1.73,15.31,56.19,101.66
0.62,6.02,6.1,2.6,16.68,59.31,101.51
0.45,4.37,7.08,3.67,15.32,79.31,101.51
0.43,4.22,7.12,5.09,15.42,84.56,101.3
0.59,5.89,7.05,4.87,16.12,68.81,101.12
0.62,6.08,6.6,1.23,16.51,55.88,101.06
0.63,6.33,6.35,3.64,18.33,55.19,100.99
0.59,5.85,6.72,3.34,17.4,75.19,100.82
0.3,3.03,7.08,3.59,18.84,73.88,100.25
0.66,6.66,6.72,2.1,19.69,70.19,99.64
0.61,6.18,6.16,3.14,19.68,58.94,99.9
0.52,5.33,6.82,3.98,15.41,71.12,100.68
0.59,6.04,6.1,1.94,18.13,65.38,100.58
0.6,6.2,6.29,5.12,16.61,72.69,100.64
0.61,6.26,6.94,6.13,16.04,66.12,100.87
0.59,6.06,6.25,3.83,15.2,58.75,101.32
0.34,3.52,7.25,2.15,15.66,60.25,101.24
0.58,6.03,6.26,2.84,17.16,60.12,100.68
